class,objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,redshift,plate,mjd,fiberid
GALAXY,1.2376618024289372e+18,182.14819954806865,24.804937611063146,18.761532578765777,17.30599141476544,16.613579421896656,16.245213027687402,15.995537210607244,3801.6757983749976,301.0,3.25259630185297,194.995167858465,1906263580473246720,0.07809210755001678,1693.0241412232333,53240.76112074508,319.42624164604564
QSO,1.2376632809626038e+18,175.07688158232997,25.93625401431215,18.9642306247047,18.680905542954292,18.496169599943396,18.366277636896417,18.28790864946602,4145.918438710897,301.0,3.2961912862678386,184.86201682260656,4264890322219324416,1.2341382938645484,3787.888951894906,54588.92495983366,387.1797561667139
STAR,1.2376633878951985e+18,171.9447776498961,25.139392420848296,18.38074367440164,17.189593889306018,16.79443878716943,16.654419025987192,16.59663328911177,4170.815676186477,301.0,3.2966978160436793,177.46078328433433,3896171611968002048,-0.00011037712726494982,3460.4078118437633,54633.291447921045,359.0730260394792
